NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,428.5514905462806
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,429.12864819370935
b38a03232f43b11c9d0788abaf060f7366053b6d,583.6476572672573
70b682d9a3636be23f6120fa9d6b164eb3c6002d,492.2063685762692
715494628a50142ce8cb17191cfe6d0f3cae0934,563.0467125298626
e656d6bad65c93fb2880f1eba5037008c8e75774,478.2251693412304
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,557.8650605206593
11539e86171bf07d3a36f09377d7f54ebcc8406a,420.53834412030545
043c544a2104aa8a9849f1a703a08d37a2f16839,451.8800030034847
76ba050e64ad100b856f0eaabd8f539d5c7dd185,472.4827812513992
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,481.7022125371258
db4da599aab5bb08dce27094a35fd3e36cd0abce,470.9777888393259
940aede382ccb332fab15d413217695ec44ca765,470.9774742783062
9ad714b116da76d878dd399d187fccc2dd13dd63,576.4635892601602
dd34464a4d780b12a089347ad580418ac57a3055,519.8377377543873
f837a4cb05a5fd59d20138182f5e8c721eadd584,472.58118709613154
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,472.06848118593626
ca8477c8493b09f34d17bb287f9bacf2dd744c32,482.3526882793509
8b0c675d7fde14953668269d378c588f0df0498b,482.29198903510246
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,372.38182936493985
3d203727f27abd83b71732d88d8cb1cc099f363b,433.0765086436554
d30d31c8ff45094e9a992c63d4a6f68b245a341a,557.8187334639613
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,466.9792098603769
cbc301183dec912f3513ca766bf03dd565f3a38f,483.6487195820149
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,624.2272556258285
11282da1ee78c8db45a041db4c744e33df489df0,432.9068830508332
03c67f683a415c2ea09b582248bd4cb08528c19d,598.5532271555969
046e844fb06a07ba30b41521f0065a8d9c6e5024,394.15820825261756
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,500.37654398677336
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,509.61548754443226
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,465.5598637970242
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,427.760815667854
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,546.9225975129682
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,477.2581187776127
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,537.6527209329244
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,493.04249534441857
